State,UF,Region,Num_wild_fires,Year,Month,Season,President
Acre,AC,Norte,0.0,1998,Jan,Winter,FHC (pri. mand.)
Acre,AC,Norte,0.0,1999,Jan,Winter,FHC (seg. mand.)
Acre,AC,Norte,0.0,2000,Jan,Winter,FHC (seg. mand.)
Acre,AC,Norte,0.0,2001,Jan,Winter,FHC (seg. mand.)
Acre,AC,Norte,0.0,2002,Jan,Winter,FHC (seg. mand.)
Acre,AC,Norte,10.0,2003,Jan,Winter,Lula (pri. mand.)
Acre,AC,Norte,0.0,2004,Jan,Winter,Lula (pri. mand.)
Acre,AC,Norte,12.0,2005,Jan,Winter,Lula (pri. mand.)
Acre,AC,Norte,4.0,2006,Jan,Winter,Lula (pri. mand.)
Acre,AC,Norte,0.0,2007,Jan,Winter,Lula (seg. mand.)
Acre,AC,Norte,0.0,2008,Jan,Winter,Lula (seg. mand.)
Acre,AC,Norte,0.0,2009,Jan,Winter,Lula (seg. mand.)
Acre,AC,Norte,1.0,2010,Jan,Winter,Lula (seg. mand.)
Acre,AC,Norte,0.0,2011,Jan,Winter,Dilma (pri. mand.)
Acre,AC,Norte,0.0,2012,Jan,Winter,Dilma (pri. mand.)
Acre,AC,Norte,0.0,2013,Jan,Winter,Dilma (pri. mand.)
Acre,AC,Norte,0.0,2014,Jan,Winter,Dilma (seg. mand.)
Acre,AC,Norte,1.0,2015,Jan,Winter,Dilma (seg. mand.)
Acre,AC,Norte,12.0,2016,Jan,Winter,Dilma (seg. mand.)
Acre,AC,Norte,0.0,2017,Jan,Winter,Temer
Acre,AC,Norte,0.0,1998,Feb,Winter,FHC (pri. mand.)
Acre,AC,Norte,0.0,1999,Feb,Winter,FHC (seg. mand.)
Acre,AC,Norte,0.0,2000,Feb,Winter,FHC (seg. mand.)
Acre,AC,Norte,0.0,2001,Feb,Winter,FHC (seg. mand.)
Acre,AC,Norte,1.0,2002,Feb,Winter,FHC (seg. mand.)
Acre,AC,Norte,0.0,2003,Feb,Winter,Lula (pri. mand.)
Acre,AC,Norte,3.0,2004,Feb,Winter,Lula (pri. mand.)
Acre,AC,Norte,0.0,2005,Feb,Winter,Lula (pri. mand.)
Acre,AC,Norte,0.0,2006,Feb,Winter,Lula (pri. mand.)
Acre,AC,Norte,5.0,2007,Feb,Winter,Lula (seg. mand.)
